address,status,x,y,address_id,full_address
彰化縣伸港鄉忠孝東街50號,ok,197943.930,2671579.620,BLX9121-0,彰化縣伸港鄉新港村012鄰忠孝東街５０號
彰化縣伸港鄉新港村和平路60號,ok,197644.720,2671621.260,BLY0095-5,彰化縣伸港鄉新港村019鄰和平路６０號
彰化縣伸港鄉新港村忠孝東街50號1~4樓,ok,,,,
彰化縣伸港鄉新港村新港路280巷101號,ok,197662.290,2671749.920,BLX8660-9,彰化縣伸港鄉新港村009鄰新港路２８０巷１０１號
彰化縣伸港鄉新港村自強路138號,ok,197624.850,2671092.330,BLX9666-9,彰化縣伸港鄉新港村017鄰自強路１３８號
彰化縣伸港鄉新港村自強路臨30號,ok,197850.900,2671055.240,BLX9651-1,彰化縣伸港鄉新港村017鄰自強路臨３０號
彰化縣伸港鄉曾家村曾家路3-15號,ok,196792.030,2671437.330,BLY0878-8,彰化縣伸港鄉曾家村001鄰曾家路３之１５號
彰化縣伸港鄉曾家村曾家路65-1號,ok,196450.540,2671224.470,BLY1003-9,彰化縣伸港鄉曾家村005鄰曾家路６５之１號
彰化縣伸港鄉曾家路3之15號,ok,196792.030,2671437.330,BLY0878-8,彰化縣伸港鄉曾家村001鄰曾家路３之１５號
彰化縣伸港鄉曾家路65-1號,ok,196450.540,2671224.470,BLY1003-9,彰化縣伸港鄉曾家村005鄰曾家路６５之１號
彰化縣伸港鄉東全路11號,ok,198256.440,2674645.220,BLX2192-8,彰化縣伸港鄉全興村009鄰東全路１１號
彰化縣伸港鄉汴頭村汴頭路183-3號,ok,198914.300,2671027.340,BLY2267-5,彰化縣伸港鄉汴頭村014鄰汴頭路１８３之３號
彰化縣伸港鄉汴頭村汴頭路187-3號,ok,198964.190,2671000.000,BLY2355-3,彰化縣伸港鄉汴頭村015鄰汴頭路１８７之３號
彰化縣伸港鄉汴頭路187-3號,ok,198964.190,2671000.000,BLY2355-3,彰化縣伸港鄉汴頭村015鄰汴頭路１８７之３號
彰化縣伸港鄉泉厝村泉厝路44-3號,ok,197300.720,2671670.890,BLY2637-0,彰化縣伸港鄉泉厝村003鄰泉厝路４４之３號
彰化縣伸港鄉泉厝路44-3號,ok,197300.720,2671670.890,BLY2637-0,彰化縣伸港鄉泉厝村003鄰泉厝路４４之３號
彰化縣伸港鄉泉州村仁愛路123號,ok,197420.580,2671519.940,BLY3857-5,彰化縣伸港鄉泉州村011鄰仁愛路１２３號
彰化縣伸港鄉海尾村海尾路3-2號,ok,197900.070,2673398.770,BLY5103-8,彰化縣伸港鄉海尾村001鄰海尾路３之２號
彰化縣伸港鄉海尾路3-2號,ok,197900.070,2673398.770,BLY5103-8,彰化縣伸港鄉海尾村001鄰海尾路３之２號
彰化縣伸港鄉溪底村溪底路103-2號,ok,199444.360,2672473.650,BLY6332-2,彰化縣伸港鄉溪底村008鄰溪底路１０３之２號
彰化縣伸港鄉溪底路103-2號,ok,199444.360,2672473.650,BLY6332-2,彰化縣伸港鄉溪底村008鄰溪底路１０３之２號
彰化縣伸港鄉福安路5號,ok,198047.430,2673114.990,BLX3631-3,彰化縣伸港鄉大同村001鄰福安路５號
彰化縣伸港鄉自強路臨30號,ok,197850.900,2671055.240,BLX9651-1,彰化縣伸港鄉新港村017鄰自強路臨３０號
彰化縣伸港鄉蚵寮村蚵寮路132-5號,ok,195067.230,2671627.230,BLY7612-1,彰化縣伸港鄉蚵寮村015鄰蚵寮路１３２之５號
彰化縣伸港鄉蚵寮村蚵寮路155-3號,ok,195287.290,2671801.940,BLY7667-7,彰化縣伸港鄉蚵寮村018鄰蚵寮路１５５之３號
彰化縣伸港鄉蚵寮路132-5號,ok,195067.230,2671627.230,BLY7612-1,彰化縣伸港鄉蚵寮村015鄰蚵寮路１３２之５號
彰化縣北斗鎮七星里斗苑路1段73號地上2地下,ok,,,,
彰化縣北斗鎮七星里神農路2-3號,ok,201929.350,2639349.110,BNQ7183-9,彰化縣北斗鎮七星里014鄰神農路２之３號
彰化縣北斗鎮中和里中圳路305號,ok,203783.193,2640273.153,BNQ7692-5,彰化縣北斗鎮中和里006鄰中圳路３０５號
彰化縣北斗鎮中圳路305號,ok,203783.193,2640273.153,BNQ7692-5,彰化縣北斗鎮中和里006鄰中圳路３０５號
彰化縣北斗鎮中央路30巷31號,ok,200124.952,2641970.099,BNQ8295-0,彰化縣北斗鎮中寮里004鄰中央路３０巷３１號
彰化縣北斗鎮中寮里中央路30巷31號,ok,200124.952,2641970.099,BNQ8295-0,彰化縣北斗鎮中寮里004鄰中央路３０巷３１號
彰化縣北斗鎮光復里光復路226號地上4地下,ok,,,,
彰化縣北斗鎮公所街2號,ok,201304.230,2640862.850,BNS3508-3,彰化縣北斗鎮西德里011鄰公所街２號
